Documentary,Western,(no genres listed),Crime,Animation,Children,IMAX,Comedy,Thriller,Mystery,Film-Noir,Drama,Action,Fantasy,Musical,War,Horror,Sci-Fi,Romance,Adventure
From the Earth to the Moon (1998),,,Mobsters (1991),"Mystery of the Third Planet, The (Tayna tretey planety) (1981)",Happy Feet (2006),,"Last Dragon, The (1985)",Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),Chinatown (1974),,"Chorus, The (Choristes, Les) (2004)","Mummy Returns, The (2001)",Bedazzled (1967),,M*A*S*H (a.k.a. MASH) (1970),"Langoliers, The (1995)",Retroactive (1997),Captain Corelli's Mandolin (2001),Spaced Invaders (1990)
No Direction Home: Bob Dylan (2005),,,Paranoid Park (2007),"Great Mouse Detective, The (1986)","Hunchback of Notre Dame, The (1996)",,11:14 (2003),Extreme Measures (1996),"Pact, The (2012)",,Miracle on 34th Street (1994),Serenity (2005),Peter Pan (1953),,"Tin Drum, The (Blechtrommel, Die) (1979)",Jason X (2002),District 9 (2009),"Twilight Samurai, The (Tasogare Seibei) (2002)",Highlander: Endgame (Highlander IV) (2000)
"Century of the Self, The (2002)",,,Performance (1970),Scooby-Doo Goes Hollywood (1979),"Chronicles of Narnia: Prince Caspian, The (2008)",,"Prairie Home Companion, A (2006)",Hitman: Agent 47 (2015),Blow-Up (Blowup) (1966),,Key Largo (1948),Last Man Standing (1996),Sucker Punch (2011),,Hamburger Hill (1987),"Curse of Frankenstein, The (1957)",White Noise (2005),The Spectacular Now (2013),Chitty Chitty Bang Bang (1968)
Risk (2016),,,"Spanish Prisoner, The (1997)","Tigger Movie, The (2000)",Santa Claus: The Movie (1985),,Beautiful (2000),Lakeview Terrace (2008),"Amityville Horror, The (1979)",,Taking Lives (2004),John Carter (2012),"Trip to the Moon, A (Voyage dans la lune, Le) (1902)",,Born on the Fourth of July (1989),"Woods, The (2006)",Night of the Creeps (1986),Adam and Eve (National Lampoon's Adam & Eve) (2005),Lilo & Stitch (2002)
Bill Cunningham New York (2011),,,Brother (Brat) (1997),9 (2009),FairyTale: A True Story (1997),,Mambo Italiano (2003),"Yellow Sea, The (a.k.a. The Murderer) (Hwanghae) (2010)","Double, The (2011)",,Mood Indigo (L'écume des jours) (2013),"Getaway, The (1994)",Space Jam (1996),,"Best Years of Our Lives, The (1946)",Audrey Rose (1977),"Langoliers, The (1995)",San Francisco (1936),Dances with Wolves (1990)
Rize (2005),,,Batman Returns (1992),"Animatrix, The (2003)",Rio 2 (2014),,Choke (2008),Savages (2012),"Big Empty, The (2003)",,"Spitfire Grill, The (1996)",Fight Club (1999),Kirikou and the Sorceress (Kirikou et la sorcière) (1998),,"Duellists, The (1977)",Mary Shelley's Frankenstein (Frankenstein) (1994),Jason X (2002),"Musketeer, The (2001)",Spider-Man 3 (2007)
Restrepo (2010),,,"Crimson Rivers, The (Rivières pourpres, Les) (2000)",How to Train Your Dragon (2010),"Rescuers Down Under, The (1990)",,Clerks (1994),Mute Witness (1994),Dead Man (1995),,Body Shots (1999),Star Trek III: The Search for Spock (1984),Twilight (2008),,"Monuments Men, The (2014)","Hip Hop Witch, Da (2000)",Electroma (2006),"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Clash of the Titans (2010)
Rude Boy (1980),,,Heaven's Prisoners (1996),Batman: Assault on Arkham (2014),Escape to Witch Mountain (1975),,Foul Play (1978),Sea of Love (1989),"Third Man, The (1949)",,Autumn Sonata (Höstsonaten) (1978),Mercury Plains (2016),"Christmas Carol, A (1977)",,"Colonel Chabert, Le (1994)",Scanners (1981),X-Men Origins: Wolverine (2009),When the Cat's Away (Chacun cherche son chat) (1996),"Cave, The (2005)"
How To Change The World (2015),,,The Infiltrator (2016),"Princess and the Frog, The (2009)","Next Karate Kid, The (1994)",,Nine Months (1995),Mission: Impossible - Rogue Nation (2015),"Prophecy, The (1995)",,Memphis Belle (1990),Captain America (1990),"Spiderwick Chronicles, The (2008)",,Ran (1985),Urban Legends: Final Cut (2000),Mothra (Mosura) (1961),Shall We Dance? (2004),"Croods, The (2013)"
Jackass: The Movie (2002),,,Amateur (1994),Wallace & Gromit in The Curse of the Were-Rabbit (2005),Free Willy 2: The Adventure Home (1995),,Major League: Back to the Minors (1998),"Babysitter, The (1995)",Scooby-Doo (2002),,Snow Falling on Cedars (1999),Superman/Batman: Public Enemies (2009),"Hobbit: The Desolation of Smaug, The (2013)",,Flyboys (2006),House (1986),Star Wars: Episode V - The Empire Strikes Back (1980),101 Reykjavik (101 Reykjavík) (2000),Kubo and the Two Strings (2016)
My Best Fiend (Mein liebster Feind) (1999),,,Police Academy 5: Assignment: Miami Beach (1988),Despicable Me 2 (2013),Wide Awake (1998),,Are We Done Yet? (2007),All About Lily Chou-Chou (Riri Shushu no subete) (2001),"Midnight Meat Train, The (2008)",,Fat Girl (À ma soeur!) (2001),"Musketeer, The (2001)",Nanny McPhee (2005),,Throne of Blood (Kumonosu jô) (1957),Slumber Party Massacre III (1990),Monsters (2010),Simply Irresistible (1999),Star Trek Into Darkness (2013)
Burden of Dreams (1982),,,Alpha Dog (2007),Team America: World Police (2004),Herbie Goes to Monte Carlo (1977),,Calendar Girl (1993),Nine Queens (Nueve reinas) (2000),Wonderland (2003),,"Scanner Darkly, A (2006)","13th Warrior, The (1999)",Cirque du Freak: The Vampire's Assistant (2009),,Gallipoli (1981),From Dusk Till Dawn (1996),Mad Max (1979),"Air I Breathe, The (2007)",BURN-E (2008)
Life and Debt (2001),,,Wheels on Meals (Kuai can che) (1984),Pocahontas (1995),Monkey Trouble (1994),,The Taming of the Scoundrel (1980),Dark Tide (2012),Silent Hill: Revelation 3D (2012),,Ray (2004),Dragon Ball: Mystical Adventure (Doragon bôru: Makafushigi dai bôken) (1988),Black Butler: Book of the Atlantic (2017),,Onibaba (1964),Eden Lake (2008),Mary Shelley's Frankenstein (Frankenstein) (1994),Shining Through (1992),Johnny English Reborn (2011)
"Thin Blue Line, The (1988)",,,Beverly Hills Cop (1984),A Flintstones Christmas Carol (1994),Zeus and Roxanne (1997),,Just Friends (2005),Ghosts of Mars (2001),"Client, The (1994)",,"Sisterhood of the Traveling Pants 2, The (2008)",Three Outlaw Samurai (Sanbiki no samurai) (1964),Indiana Jones and the Temple of Doom (1984),,Wizards (1977),Hide and Seek (2005),Scanners (1981),Shooting Fish (1997),"Clan of the Cave Bear, The (1986)"
Anvil! The Story of Anvil (2008),,,"Cotton Club, The (1984)",Howl's Moving Castle (Hauru no ugoku shiro) (2004),Muppets From Space (1999),,Rent-A-Cop (1988),Disclosure (1994),Lucky Number Slevin (2006),,"Business of Strangers, The (2001)","Wages of Fear, The (Salaire de la peur, Le) (1953)",The Lost Room (2006),,Where Eagles Dare (1968),Heavy Metal (1981),The Butterfly Effect (2004),The Lobster (2015),Maleficent (2014)
Hands on a Hard Body (1996),,,21 Grams (2003),From Up on Poppy Hill (Kokuriko-zaka kara) (2011),Kung Fu Panda 2 (2011),,Sarah Silverman: Jesus Is Magic (2005),Ghost (1990),Death on the Nile (1978),,"Hairdresser's Husband, The (Le mari de la coiffeuse) (1990)",Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),,Virunga (2014),Life After Beth (2014),Godzilla 2000 (Gojira ni-sen mireniamu) (1999),100 Girls (2000),Candleshoe (1977)
Unknown White Male (2005),,,Veronica Mars (2014),"Jungle Book, The (1967)","Absent-Minded Professor, The (1961)",,Attack of the Killer Tomatoes! (1978),Jackass 3D (2010),True Crime (1996),,Teknolust (2002),Strange Days (1995),"Flintstones, The (1994)",,Major Dundee (1965),Satanic (2016),Super 8 (2011),Angels and Insects (1995),Quantum of Solace (2008)
Tie Xi Qu: West of the Tracks (Tiexi qu) (2003),,,"Chase, The (1994)","Town Called Panic, A (Panique au village) (2009)",Gordy (1995),,"Unintentional Kidnapping of Mrs. Elfriede Ott, The (Die Unabsichtliche Entführung der Frau Elfriede Ott) (2010)","Mosquito Coast, The (1986)",Novocaine (2001),,"Way Back, The (2010)",Payback (1999),"Shadow, The (1994)",,Master and Commander: The Far Side of the World (2003),Thinner (1996),Skyline (2010),Kissing Jessica Stein (2001),Highlander (1986)
A Story of Children and Film (2013),,,Kingsman: The Secret Service (2015),Chicken Run (2000),Jack-Jack Attack (2005),,Little Black Book (2004),Stray Dog (Nora inu) (1949),Exam (2009),,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)",The Raid 2: Berandal (2014),"Triplets of Belleville, The (Les triplettes de Belleville) (2003)",,Platoon (1986),Pusher III: I'm the Angel of Death (2005),Marvel One-Shot: Agent Carter (2013),Crazy Heart (2009),Embrace of the Serpent (2016)
The Blue Planet (2001),,,"Bourne Ultimatum, The (2007)","Adventures of Rocky and Bullwinkle, The (2000)",Alvin and the Chipmunks: The Squeakquel (2009),,"Teahouse of the August Moon, The (1956)",Dark Places (2015),Kizumonogatari Part 1: Tekketsu (2016),,Shelter (2007),Moonraker (1979),Underworld (2003),,Kingdom of Heaven (2005),Darkness Falls (2003),Heavy Metal (1981),The Fault in Our Stars (2014),Family Guy Presents Stewie Griffin: The Untold Story (2005)
African Cats (2011),,,High Heels and Low Lifes (2001),Porky's Hare Hunt (1938),Bedknobs and Broomsticks (1971),,Return to Treasure Island (1988),"Das Experiment (Experiment, The) (2001)",Missing (1982),,200 Cigarettes (1999),Rocky V (1990),Black Book (Zwartboek) (2006),,Jarhead (2005),"Girl Walks Home Alone at Night, A (2014)",Tank Girl (1995),Happy Together (a.k.a. Buenos Aires Affair) (Chun gwong cha sit) (1997),Asterix in America (a.k.a Asterix Conquers America) (Astérix et les Indiens) (1994)
Baraka (1992),,,Natural Born Killers (1994),Kiki's Delivery Service (Majo no takkyûbin) (1989),"Great Mouse Detective, The (1986)",,17 Again (2009),Predator 2 (1990),"Faraway, So Close (In weiter Ferne, so nah!) (1993)",,Music Box (1989),Pirates of the Caribbean: At World's End (2007),Ruby Red (2013),,Flying Tigers (1942),Chopper Chicks in Zombietown (1989),Returner (Ritaanaa) (2002),"Gas, Food, Lodging (1992)",Eragon (2006)
Hearts of Darkness: A Filmmakers Apocalypse (1991),,,"Godfather, The (1972)","Snowman, The (1982)",Scooby-Doo Goes Hollywood (1979),,Are We There Yet? (2005),Sin Nombre (2009),Dragonfly (2002),,Being Human (1993),Wonder Woman (2009),Song of the Sea (2014),,"Birth of a Nation, The (1915)","Chinese Ghost Story, A (Sinnui yauwan) (1987)",Iron Man (2008),Another Cinderella Story (2008),Little Nemo: Adventures in Slumberland (1992)
O.J.: Made in America (2016),,,"Double Life, A (1947)","Pagemaster, The (1994)","Tigger Movie, The (2000)",,Masterminds (1997),Firewall (2006),Premonition (2007),,New York Stories (1989),Pain & Gain (2013),Blue Exorcist: The Movie (2012),,Control Room (2004),Funny Games (1997),"Day the Earth Stood Still, The (2008)",Joe Somebody (2001),In Search of the Castaways (1962)
Incident at Loch Ness (2004),,,Millions (2004),Hey Arnold! The Movie (2002),How to Train Your Dragon (2010),,Wayne's World (1992),"Gunman, The (2015)",Inherent Vice (2014),,Force 10 from Navarone (1978),Freejack (1992),"Borrowers, The (1997)",,Hot Shots! (1991),Rosemary's Baby (1968),When Worlds Collide (1951),Orlando (1992),Space Cowboys (2000)
"Secret Policeman's Other Ball, The (1982)",,,Good Time (2017),Ghost in the Shell 2.0 (2008),Teenage Mutant Ninja Turtles III (1993),,Sing (2016),"Hills Have Eyes II, The (2007)",The Deadly Bees (1967),,Touch (1997),Screamers (1995),"Green Hornet, The (2011)",,Beasts of No Nation (2015),"Legend of Hell House, The (1973)",Riddick (2013),Breathless (À bout de souffle) (1960),Rango (2011)
Indie Game: The Movie (2012),,,Thelma & Louise (1991),Escape from Planet Earth (2013),It Takes Two (1995),,Shaun the Sheep Movie (2015),Kite (2014),Echelon Conspiracy (2009),,Ex Drummer (2007),Tarzan and the Lost City (1998),"Ewok Adventure, The (a.k.a. Caravan of Courage: An Ewok Adventure) (1984)",,To End All Wars (2001),Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994),V for Vendetta (2006),I.Q. (1994),Maximum Ride (2016)
Hoop Dreams (1994),,,Sisters (Syostry) (2001),Enchanted (2007),"Princess and the Frog, The (2009)",,Muppet Treasure Island (1996),Max Payne (2008),"Stepford Wives, The (1975)",,Eve's Bayou (1997),Chronicle (2012),Return to Oz (1985),,"Guns of Navarone, The (1961)",Lights Out (2016),THX 1138 (1971),"Presidio, The (1988)","Stunt Man, The (1980)"
Stanley Kubrick: A Life in Pictures (2001),,,Shot Caller (2017),Porky in Wackyland (1938),Free Willy (1993),,"Jerk, The (1979)","Covenant, The (2006)","Vanishing, The (1993)",,Alive (1993),Stretch (2014),Jin Roh: The Wolf Brigade (Jin-Rô) (1998),,1969 (1988),Blade (1998),Harrison Bergeron (1995),Focus (2015),Turbo Kid (2015)
Sicko (2007),,,Extreme Ops (2002),Ghost in the Shell Arise - Border 2: Ghost Whispers (2013),Wallace & Gromit in The Curse of the Were-Rabbit (2005),,I'm Starting From Three (Ricomincio da Tre) (1981),Basic Instinct (1992),"Cat o' Nine Tails, The (Gatto a nove code, Il) (1971)",,"Atalante, L' (1934)",Fullmetal Alchemist 2018 (2017),Earthsea (Legend of Earthsea) (2004),,I Served the King of England (Obsluhoval jsem anglického krále) (2006),"Baby, The (1973)","Fantastic Planet, The (Planète sauvage, La) (1973)",Mystic Pizza (1988),Ice Age: Collision Course (2016)
Ice Guardians (2016),,,Shaft (1971),Bungo Stray Dogs: Dead Apple (2018),Despicable Me 2 (2013),,Loser (1991),M (1931),Vertigo (1958),,"Wackness, The (2008)",Hot Shots! Part Deux (1993),South Park: Imaginationland (2008),,Baarìa (2009),Day of the Dead (1985),Day of the Dead (1985),Shampoo (1975),"Old Man and the Sea, The (1958)"
21 Up (1977),,,"History of Violence, A (2005)",Frozen (2013),Meet Dave (2008),,Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) (1988),Texas Chainsaw 3D (2013),"Pure Formality, A (Pura formalità, Una) (1994)",,Imitation of Life (1959),Tomorrow Never Dies (1997),Miss Peregrine's Home for Peculiar Children (2016),,We Were Soldiers (2002),My Demon Lover (1987),Parasite (1982),Limelight (1952),Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)
Return with Honor (1998),,,Get the Gringo (2012),Spirited Away (Sen to Chihiro no kamikakushi) (2001),D2: The Mighty Ducks (1994),,Bride of Chucky (Child's Play 4) (1998),"Mummy Returns, The (2001)","Herod's Law (Ley de Herodes, La) (2000)",,How to Marry a Millionaire (1953),Drunken Master (Jui kuen) (1978),"Devil and Max Devlin, The (1981)",,Red Tails (2012),Hood of Horror (2006),Predestination (2014),Monte Carlo (2011),Captain America: The First Avenger (2011)
Mad Hot Ballroom (2005),,,City of God (Cidade de Deus) (2002),Chicken Little (2005),Pocahontas (1995),,Munna bhai M.B.B.S. (2003),Last Man Standing (1996),"Omen, The (1976)",,Vagabond (Sans toit ni loi) (1985),Robot Overlords (2014),The Love Bug (1997),,Mrs. Miniver (1942),Are You Scared? (2006),Invasion of the Body Snatchers (1956),The Longest Ride (2015),Spy Kids 2: The Island of Lost Dreams (2002)
Who Killed the Electric Car? (2006),,,Get Shorty (1995),Planes: Fire & Rescue (2014),A Flintstones Christmas Carol (1994),,It's a Very Merry Muppet Christmas Movie (2002),Homegrown (1998),Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi) (2005),,"Caveman's Valentine, The (2001)","Towering Inferno, The (1974)",Mr. Destiny (1990),,Inglorious Bastards (Quel maledetto treno blindato) (1978),Opera (1987),Total Recall (2012),Mr. & Mrs. Smith (2005),The Legend of Tarzan (2016)
Seven Up! (1964),,,Chain of Fools (2000),G.I. Joe: The Movie (1987),Newsies (1992),,Love and Death on Long Island (1997),Saw III (2006),Digging Up the Marrow (2014),,My Life as a Dog (Mitt liv som hund) (1985),How to Train Your Dragon 2 (2014),Starcrash (a.k.a. Star Crash) (1978),,Before the Rain (Pred dozhdot) (1994),Parasite (1982),Doctor Strange (2016),Magic in the Moonlight (2014),Fullmetal Alchemist the Movie: Conqueror of Shamballa (Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono) (2005)
Triumph of the Will (Triumph des Willens) (1934),,,I Saw the Devil (Akmareul boatda) (2010),Belladonna of Sadness (1973),"Jungle Book, The (1967)",,Beverly Hills Cop II (1987),Fight Club (1999),And Then There Were None (1945),,City Lights (1931),Kung Fu Panda 3 (2016),The Hobbit: The Battle of the Five Armies (2014),,Heartbreak Ridge (1986),Invasion of the Body Snatchers (1956),Time Lapse (2014),Zack and Miri Make a Porno (2008),Walkabout (1971)
Frozen Planet (2011),,,8 Women (2002),Ice Age 2: The Meltdown (2006),Chicken Run (2000),,Fierce Creatures (1997),Mother! (2017),Sherlock Holmes: The Woman in Green (1945),,"Ugly Truth, The (2009)",Geostorm (2017),Night at the Museum: Secret of the Tomb (2014),,,"Twilight Saga: New Moon, The (2009)",Oblivion 2: Backlash (1996),"Short Film About Love, A (Krótki film o milosci) (1988)","Chase, The (1994)"
American: The Bill Hicks Story (2009),,,Duplex (2003),Kizumonogatari Part 1: Tekketsu (2016),Alaska (1996),,First Kid (1996),"American Werewolf in London, An (1981)","Tale of Two Sisters, A (Janghwa, Hongryeon) (2003)",,Levity (2003),Star Wars: The Clone Wars (2008),Krull (1983),,,I Bought a Vampire Motorcycle (1990),Journey to the Center of the Earth (1959),My Best Friend's Girl (2008),Kingsman: The Secret Service (2015)
Lightning in a Bottle (2004),,,Headshot (2011),Hoodwinked! (2005),"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",,Welcome to the Dollhouse (1995),"Cottage, The (2008)",House of Games (1987),,House of Cards (1993),Déjà Vu (Deja Vu) (2006),Videodrome (1983),,,Friday the 13th (2009),Mutant Aliens (2001),Free Enterprise (1998),Year One (2009)
"Kid Stays in the Picture, The (2002)",,,Baby Driver (2017),Winnie the Pooh and the Honey Tree (1966),"Adventures of Rocky and Bullwinkle, The (2000)",,"Room for Romeo Brass, A (1999)",Captain America (1990),Let Me In (2010),,Dark Water (2005),Painted Skin (2008),Night at the Museum (2006),,,"House of the Dead, The (2003)",High Rise (2015),Six Days Seven Nights (1998),Kull the Conqueror (1997)
"Power of Nightmares, The: The Rise of the Politics of Fear (2004)",,,22 Jump Street (2014),"Emperor's New Groove 2: Kronk's New Groove, The (2005)",Porky's Hare Hunt (1938),,Lover Come Back (1961),High Tension (Haute tension) (Switchblade Romance) (2003),Red Riding Hood (2011),,Zatoichi and the Chest of Gold (Zatôichi senryô-kubi) (Zatôichi 6) (1964),"Hurt Locker, The (2008)",Lesson Faust (1994),,,Phantom of the Paradise (1974),Titan A.E. (2000),"Object of My Affection, The (1998)",Dance of the Dead (2008)
Black Tar Heroin: The Dark End of the Street (2000),,,Witch Hunt (1999),Penguins of Madagascar (2014),Racing Stripes (2005),,"Master of Disguise, The (2002)",Undertow (2004),Tetro (2009),,"Terminal, The (2004)",Incredibles 2 (2018),Batman & Robin (1997),,,Final Destination 2 (2003),"X-Files: Fight the Future, The (1998)",Anthony Adverse (1936),"Last Starfighter, The (1984)"
Miss Representation (2011),,,Unlawful Entry (1992),Wallace & Gromit: A Close Shave (1995),Kiki's Delivery Service (Majo no takkyûbin) (1989),,Back to the Future Part II (1989),"Wages of Fear, The (Salaire de la peur, Le) (1953)",Sherlock Holmes: Terror by Night (1946),,Northfork (2003),Best of the Best (1989),Melvin and Howard (1980),,,The Shining (1997),"Philadelphia Experiment, The (1984)",Sommersby (1993),Gulliver's Travels (2010)
